Taxon,0F1,0F2,0F3,0F4,0F5,1F1,1F2,1F3,1F4,1F5,2F1,2F2,2F3,2F4,2F5
k__Bacteria;p__Firmicutes,0.858197,0.814046,0.87798,0.853529,0.850051,0.835381,0.84907,0.754704,0.867134,0.812272,0.788172,0.684679,0.824261,0.826405,0.827356
k__Bacteria;p__Bacteroidetes,0.095628,0.157779,0.099406,0.107596,0.126927,0.131412,0.128421,0.202463,0.0997,0.150031,0.158253,0.215735,0.122396,0.136998,0.135756
k__Bacteria;p__Spirochaetes,0.003005,0.003367,0.005192,0.009305,0.008081,0.013364,0.010057,0.004995,0.01076,0.008599,0.012638,0.061905,0.006284,0.008562,0.006137
k__Bacteria;p__Proteobacteria,0.003757,0.003299,0.009428,0.01606,0.004278,0.00486,0.004584,0.007184,0.01042,0.010456,0.025551,0.007591,0.024384,0.008286,0.00525
k__Bacteria;p__TM7,0.011407,0.004467,0.001981,0.004342,0.003463,0.003105,0.002053,0.009237,0.004631,0.00908,0.005564,0.002415,0.011065,0.008562,0.012955
k__Bacteria;p__Actinobacteria,0.021516,0.007078,0.001708,0.004618,0.001766,0.009044,0.0026,0.002668,0.003746,0.004953,0.004877,0.004486,0.00642,0.003867,0.004841
k__Bacteria;p__Verrucomicrobia,0.001913,0.006185,0.00205,0.002412,0.002784,0.000337,0.000889,0.009784,0.000817,0.000825,0.002198,0.008558,0.001503,0.002279,0.002046
k__Bacteria;p__Tenericutes,0.002937,0.002405,0.000342,0.001241,0.001562,0.00054,0.000821,0.007527,0.00109,0.001238,0.000275,0.006694,0.0028,0.002348,0.003068
k__Bacteria;p__Cyanobacteria,0.00041,0.000275,0.001161,0.000345,0.000204,0.001147,0.000889,0.000753,0.001294,0.001651,0.000962,0.004624,0.000273,0.001726,0.001159
k__Bacteria;p__Fibrobacteres,0.000751,6.87E-05,0.00041,0.000138,0.000136,0.000135,0.000137,0,0.000272,0.00055,0.000824,0.001794,0.000137,0.000483,0.000477
No blast hit;Other,0.000478,0.001031,0.000342,0.000414,0.000747,0.000675,0.000479,0.000684,0.000136,0.000344,0.000618,0.000759,0.000478,0.000483,0.000955
k__Bacteria;p__Elusimicrobia,0,0,0,0,0,0,0,0,0,0,6.87E-05,0.000759,0,0,0
