Taxon,0M1,0M2,0M3,0M4,0M5,1M1,1M2,1M3,1M4,1M5,2M1,2M2,2M3,2M4,2M5
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Cupriavidus,0.798331472,0.753303383,0.687931148,0.688934589,0.672823737,0.192901438,0.464156883,0.440291167,0.426389617,0.634654438,0.327701375,0.206525987,0.197704165,0.401663501,0.642296626
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.023385666,0.037328224,0.062282373,0.034032108,0.056592651,0.245217047,0.370630288,0.33208735,0.091308338,0.201572224,0.091814014,0.084929009,0.067563135,0.150304539,0.017787078
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus,0.00032845,0.000198203,0.000919782,0.000398036,0.00176852,0.430267845,0.0009838,0.00032789,0.391386995,0.000458565,0.475180092,0.553731927,0.644080026,0.291702142,0.174339524
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.079156539,0.083245243,0.104198147,0.108332228,0.11043427,0.020319303,0.056666885,0.050626271,0.041622968,0.058499836,0.038899804,0.051387261,0.022171204,0.047940271,0.059050484
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Unclassified_Caulobacteraceae,0.016159758,0.022463002,0.028907431,0.022223696,0.028951333,0.004288165,0.024988522,0.023673684,0.016911379,0.022338683,0.017812705,0.024293344,0.015480485,0.026655315,0.036620455
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium,0.004795375,0.005880021,0.008475133,0.005837867,0.0087116,0.002902758,0.008198334,0.006295495,0.004063975,0.007140518,0.003929273,0.00338674,0.003279764,0.008906936,0.007520272
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Unclassified_Enterobacteriaceae,0.010050581,0.011429704,0.016161882,0.011808412,0.015130674,0.000659718,0.006296321,0.004524887,0.001376508,0.007009499,0.001113294,0.000976944,0.000983929,0.001440828,0.002288778
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Unclassified_Comamonadaceae,0.008014189,0.005615751,0.008935024,0.007031976,0.00694308,0.000857633,0.004656654,0.004328153,0.002556371,0.005240747,0.005959398,0.005340628,0.004263693,0.006483725,0.009874444
k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus,0.011167313,0.010240486,0.007752447,0.009950909,0.009956114,0.000725689,0.006427494,0.005311824,0.001442056,0.005830331,0.001899149,0.000651296,0.000459167,0.000851398,0.002550353
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum,0.006569007,0.008192389,0.00762105,0.008358763,0.00956311,0.001583322,0.003804027,0.003213325,0.002621919,0.003865051,0.005959398,0.007555035,0.005706789,0.009365381,0.006931729
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,0.002758983,0.003633721,0.007226858,0.004312061,0.004847056,0.000461802,0.001705253,0.015476425,0.001114316,0.012643302,0.000851343,0.001758499,0.001508691,0.008644967,0.00640858
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis,0.004795375,0.005549683,0.006307076,0.006766618,0.007336084,0.001979153,0.00354168,0.003147747,0.001769795,0.002423845,0.003994761,0.009053016,0.005706789,0.004649944,0.004119801
