Taxon,0F1,0F2,0F3,0F4,0F5,1F1,1F2,1F3,1F4,1F5,2F1,2F2,2F3,2F4,2F5
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Unclassified_Ruminococcaceae,0.356148,0.337205,0.405274,0.388958,0.319796,0.397678,0.399288,0.344235,0.327704,0.340373,0.350642,0.286542,0.304692,0.38213,0.368949
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Unclassified_Clostridiales;g__Unclassified_Clostridiales,0.285656,0.215915,0.250393,0.239109,0.291477,0.234139,0.207991,0.165789,0.32784,0.262159,0.236417,0.190131,0.234137,0.241541,0.256784
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Unclassified_Lachnospiraceae,0.066052,0.094489,0.0537,0.073683,0.071783,0.055616,0.078544,0.076018,0.064424,0.062049,0.069029,0.071705,0.075746,0.058279,0.055843
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Unclassified_Bacteroidales;g__Unclassified_Bacteroidales,0.055191,0.079027,0.04919,0.051282,0.080611,0.071342,0.054461,0.106124,0.053119,0.075944,0.097946,0.121049,0.070077,0.063182,0.071731
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium,0.038388,0.023296,0.02767,0.029846,0.03056,0.03125,0.035304,0.030106,0.020635,0.022494,0.024109,0.022498,0.036131,0.036666,0.039138
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,0.021038,0.021028,0.030129,0.022264,0.046452,0.028213,0.023946,0.015874,0.029011,0.029511,0.026719,0.028088,0.015983,0.017125,0.017046
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15,0.008811,0.026251,0.016602,0.013441,0.013311,0.016941,0.020525,0.030653,0.01328,0.027447,0.016004,0.031539,0.016392,0.030728,0.022024
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Unclassified_Rikenellaceae,0.01127,0.018417,0.012434,0.014268,0.012971,0.015591,0.019089,0.025727,0.009943,0.014927,0.015042,0.023464,0.015368,0.018644,0.01766
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,0.009563,0.026732,0.004782,0.016749,0.007538,0.010462,0.01772,0.016011,0.007355,0.006673,0.005838,0.003175,0.068028,0.011324,0.010364
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,0.011954,0.011339,0.018378,0.01413,0.012767,0.015659,0.017036,0.013958,0.012326,0.014033,0.01566,0.014907,0.01045,0.013327,0.013092
