Genus,F_JC1,F_JC2,F_JC3,F_JC4,S_MC5,F_LW3,F_LW2,F_LW1,F_JC5,F_MC2,F_MC1,F_LW5,F_LW4,F_MC4,F_MC3,S_JC1,F_MC5,S_JC4,S_JC3,S_JC2,S_MC3,S_MC4,S_LW2,S_LW3,S_JC5,S_LW1,S_MC1,S_MC2,S_LW4,S_LW5,Total
g__Bacteroides,4324038,3380080,5373702,6224576,4938654,2272798,2171750,2757548,4558848,5770814,4642398,2598586,3320574,5636760,4692074,5003506,4390748,5218498,5937182,5496372,8064342,5557802,1891882,1815964,7663322,1582930,5934866,4696058,2896080,2649506,131462258
g__Prevotella,779526,807606,906148,1099710,1309614,4905736,6311908,5493162,847834,1280654,840486,4213174,7438894,1035036,807976,1167226,810956,1211708,1647242,1166026,2121178,1407928,6589262,5562464,1953094,3177976,1321042,1069696,8799914,8699556,84782732
g__unclassified_p__Firmicutes,3105380,2414590,2570228,3168174,2211960,823954,690398,1880534,3117820,2962422,3775198,1322406,1158112,2795030,2792258,2020072,2985490,2443574,1950948,2245208,2096986,2923578,985684,1448830,2414854,1116860,2124164,2766890,952688,906956,64171246
g__Alistipes,2575142,1891416,2893978,3608164,2192788,897428,767786,1278304,2776694,2975858,2805504,1145632,1474944,3107624,2456098,2424824,2594510,2354636,2749284,2607630,3634830,2757894,323088,569998,2973890,331300,2743266,2399830,670256,372702,62355298
g__Clostridium,2394878,1873500,1795652,2528222,1476648,765136,638232,1654716,2426178,2182292,2521334,1311932,1271708,2207068,1906310,1592386,2212162,1649326,1538620,1676886,1522620,1769476,859844,1180228,1703800,1227854,1565948,1937782,835322,777968,49004028
g__unclassified_d__Bacteria,621604,418554,612400,826222,1032152,3372550,2477454,4450730,797852,601402,657116,2425962,3442452,766814,583514,946974,732196,935052,873056,1343652,1222848,1054406,3096380,2453702,1369522,2594382,1003756,1217838,3309068,2428090,47667700
g__Ruminococcus,1271148,1032790,940312,1240884,1004050,898108,842786,1401378,1353214,1242270,1313558,1119212,1174492,1047878,1018016,1170416,1189060,1166778,1095796,1286724,1103666,1361710,887084,1496928,1196700,924100,1243560,1417514,818948,696022,33955102
g__unclassified_f__Lachnospiraceae,569714,520372,526726,614348,626650,1473314,736210,2238004,573578,607248,637122,1362130,1295928,560198,600064,639636,539878,675554,515382,672146,546890,788520,1447274,1552818,644450,1443824,647916,784236,1408116,1374262,26622508
g__Methanobrevibacter,180464,185170,590300,359886,1283050,449484,501302,1132716,290258,543902,339158,985024,809430,402892,456512,859804,340410,596538,494284,552356,388332,778474,1600504,1273602,710580,1279876,892672,1023336,1060778,1208914,21570008
g__Treponema,262250,365468,236140,587470,308112,1131996,726880,2414330,250144,352388,231292,755440,1730714,438318,262176,410814,206876,821704,629184,588572,918972,724340,625372,934044,595884,181242,461884,504986,733814,713174,19103980
