position,condition,sample,Acetic acid,Propionic acid,Butyric acid
Rumen,Drylot,SLW1,0.6049993957,0.2797756769,0.0854883948
Rumen,Drylot,SLW2,0.6351138341,0.2031141934,0.1135070641
Rumen,Drylot,SLW3,0.6205768567,0.2409859632,0.0929812504
Rumen,Drylot,SLW4,0.6224761573,0.2386616029,0.0996151263
Rumen,Drylot,SLW5,0.5961354706,0.2324169454,0.126076202
Cecum,Drylot,SMC1,0.7247340946,0.187036461,0.0384707268
Cecum,Drylot,SMC2,0.7419519811,0.1782782507,0.0421942328
Cecum,Drylot,SMC3,0.7299642263,0.1897200433,0.0441946731
Cecum,Drylot,SMC4,0.7222963095,0.1892291496,0.048340829
Cecum,Drylot,SMC5,0.7197340828,0.2003516191,0.0384604404
Colon,Drylot,SJC1,0.7408858163,0.1799952333,0.0396152593
Colon,Drylot,SJC2,0.751702252,0.1669544551,0.0441264764
Colon,Drylot,SJC3,0.7298695746,0.185410369,0.0470085284
Colon,Drylot,SJC4,0.6887547264,0.2000173922,0.0541831574
Colon,Drylot,SJC5,0.7321460533,0.1807477009,0.0401031731
Rumen,Grazing,FLW1,0.7270053312,0.1375429261,0.0902979458
Rumen,Grazing,FLW2,0.7185521914,0.1349895346,0.0946575787
Rumen,Grazing,FLW3,0.7337827733,0.1252185863,0.0924619893
Rumen,Grazing,FLW4,0.6967826561,0.16292178,0.0809846666
Rumen,Grazing,FLW5,0.7139924258,0.1483345301,0.0893223662
Cecum,Grazing,FMC1,0.7825340627,0.1454696006,0.0438533776
Cecum,Grazing,FMC2,0.7926729208,0.1472095985,0.0384423395
Cecum,Grazing,FMC3,0.7724256832,0.1466325467,0.0470314465
Cecum,Grazing,FMC4,0.7849185561,0.1457070468,0.0394168069
Cecum,Grazing,FMC5,0.7822921834,0.1455257662,0.0436026711
Colon,Grazing,FJC1,0.77982697,0.1362639538,0.0511999137
Colon,Grazing,FJC2,0.7941694017,0.1357675094,0.0417636577
Colon,Grazing,FJC3,0.7733854132,0.1466912426,0.0472224684
Colon,Grazing,FJC4,0.8015110908,0.1387396624,0.0326018366
Colon,Grazing,FJC5,0.7751364786,0.1400515816,0.0467248723
