sample,value
F-LW1,9770589.68245382
F-LW2,8053490.54730388
F-LW3,7813827.0342462
F-LW4,5855344.62957175
F-LW5,9756049.25320036
S-LW1,1827017.93349646
S-LW2,4155875.48051978
S-LW3,4467889.64121518
S-LW4,4833258.79632621
S-LW5,7870968.1299965
F-MC1,14464553.8015824
F-MC2,17208055.350201
F-MC3,10360131.8636007
F-MC4,14419797.6643348
F-MC5,14508871.0593999
S-MC1,32393226.6792647
S-MC2,16278456.4870859
S-MC3,21226073.0505247
S-MC4,15977056.8062613
S-MC5,23927879.0948813
F-JC1,15174672.8132272
F-JC2,6291575.08749181
F-JC3,9941099.60016515
F-JC4,16687563.7069971
F-JC5,10408311.5352506
S-JC1,9830409.10209359
S-JC2,10536354.6323464
S-JC3,18753106.8580545
S-JC4,19474629.8997627
S-JC5,22826233.25567
N-F-LW1,4872285.50743379
N-F-LW2,2156177.81507386
N-F-LW3,2773730.49297722
N-F-LW4,826349.890821012
N-F-LW5,1239231.58115566
N-S-LW1,1546054.24151232
N-S-LW2,1395514.87198826
N-S-LW3,1510686.16350805
N-S-LW4,1588395.6764452
N-S-LW5,1430124.13873239
N-F-MC1,274599.355752358
N-F-MC2,235876.261722183
N-F-MC3,172303.459735398
N-F-MC4,176595.990730414
N-F-MC5,369943.706398942
N-S-MC1,445546.978459352
N-S-MC2,367253.696072698
N-S-MC3,241159.352318357
N-S-MC4,350980.972349156
N-S-MC5,338886.057169447
N-F-JC1,190551.275507842
N-F-JC2,201077.091750039
N-F-JC3,255187.472406099
N-F-JC4,134081.59121324
N-F-JC5,165875.298581749
N-S-JC1,227961.623550811
N-S-JC2,426575.322328568
N-S-JC3,198400.751834096
N-S-JC4,292953.693475074
N-S-JC5,212081.377849102
