Pathway,Description,F_JC1,F_JC2,F_JC3,F_JC4,S_MC5,F_LW3,F_LW2,F_LW1,F_JC5,F_MC2,F_MC1,F_LW5,F_LW4,F_MC4,F_MC3,S_JC1,F_MC5,S_JC4,S_JC3,S_JC2,S_MC3,S_MC4,S_LW2,S_LW3,S_JC5,S_LW1,S_MC1,S_MC2,S_LW4,S_LW5,Pathwaymap,Total
ko00010,Glycolysis / Gluconeogenesis,423924,345268,410628,516334,432198,324718,288984,522594,458362,457364,468422,375440,425606,448098,396892,450184,422232,435064,440426,443852,498104,471006,381176,428710,540740,391750,468094,454834,426916,399002,http://www.genome.jp/kegg-bin/show_pathway?ko00010+K00627+K00895+K00175+K01810+K03737+K01895+K00174+K00927+K00845+K01624+K04072+K01835+K00134+K00128+K15633+K01596+K01223+K00170+K15634+K01803+K01689+K00850+K00873+K15635+K01834+K15778+K01610+K00382+K01785+K02446+K04041+K00016+K21071+K13954+K20116+K00169+K01792+K00172+K20866+K00171+K03841+K20117+K01622+K01222+K00001+K16370+K00150+K13953+K06859+K02778+K15916+K00918+K02777+K01085+K11645+K16306+K00844+K00121+K00161+K00002+K00162+K01623+K01905+K00131+K16305+K02790+K13810+K15779+K00886+K11532+K04022+K01568+K13997+K00129+K02752+K00163+K13980+K18857,12946922
ko00020,Citrate cycle (TCA cycle),216920,176318,225998,274276,243462,190038,165444,302860,242030,247602,242530,227138,257800,240218,212380,252894,223268,236952,247156,244036,280934,260180,217128,245914,303274,217082,264424,249600,253592,243434,http://www.genome.jp/kegg-bin/show_pathway?ko00020+K00627+K00175+K03737+K00031+K00174+K01647+K00239+K00244+K01903+K01596+K01681+K00240+K00170+K01960+K01610+K00382+K01679+K01676+K00030+K01677+K00024+K01958+K00241+K00169+K01678+K00176+K00172+K00177+K00171+K00116+K01959+K00658+K01902+K18118+K00161+K00162+K00234+K01899+K00245+K13997+K01900+K00246+K00025+K01682+K00247+K00164+K00163,7204882
ko00030,Pentose phosphate pathway,226310,188098,214166,271688,221310,171618,145582,294572,241316,241874,252770,213934,230208,234358,211230,222620,221538,219482,219972,221166,244946,236632,201268,227566,270266,219410,231220,230656,228322,215174,http://www.genome.jp/kegg-bin/show_pathway?ko00030+K00895+K00948+K01810+K00852+K00615+K01839+K01624+K01835+K00850+K08093+K01619+K01625+K03738+K15778+K01807+K00033+K02446+K04041+K07404+K21071+K01621+K00874+K11529+K01783+K01053+K01808+K03841+K08094+K13812+K00034+K00616+K01622+K16370+K00036+K00851+K06859+K15916+K00918+K11645+K16306+K01623+K00131+K16305+K00090+K01057+K13831+K13810+K15779+K17464+K11532+K17468+K05774+K17466+K18022+K18127+K00032,6769272
ko00040,Pentose and glucuronate interconversions,132136,101730,115262,150394,114498,126996,119198,197720,133808,129336,142998,144430,159596,127692,112504,121304,122170,117464,125144,124834,144442,130258,125680,129286,144854,106040,126250,131016,136164,120248,http://www.genome.jp/kegg-bin/show_pathway?ko00040+K00041+K00012+K01812+K01685+K00848+K01686+K01195+K00963+K00008+K00854+K00040+K01804+K01805+K05352+K00853+K00065+K01629+K01815+K01783+K01786+K03082+K01730+K01728+K01051+K00880+K16190+K08092+K16850+K17818+K21030+K08322+K00002+K05351+K08323+K01184+K03080+K00078+K16849+K01213+K01820+K14274+K00011+K01731+K12447+K03081+K03331+K00699+K21031+K17743+K13247+K18106+K18107,3913452
ko00051,Fructose and mannose metabolism,197582,158888,188146,239098,197442,177672,168676,285930,211806,211610,216296,210508,231674,209784,179396,207732,194414,198274,207428,203158,236956,213634,199690,215626,258770,217874,218538,206022,236842,218158,http://www.genome.jp/kegg-bin/show_pathway?ko00051+K00895+K01628+K01818+K01624+K01813+K00848+K00882+K01809+K01803+K00971+K00850+K00008+K02377+K02768+K15778+K19956+K02446+K04041+K00847+K21071+K01218+K02795+K02798+K00068+K01805+K05305+K16881+K01629+K00879+K19355+K01840+K01711+K01808+K03332+K03841+K00009+K01622+K16370+K02783+K02796+K00966+K15916+K02770+K02769+K12661+K11645+K16306+K00844+K00881+K02799+K01729+K15856+K02782+K16011+K02793+K01623+K00064+K16305+K17195+K02794+K12660+K17497+K01820+K18337+K02781+K00011+K18335+K00863+K07046+K00846+K02771+K17742+K11532+K18333+K14634+K00066+K00045+K02800+K08261+K02813+K02814,6317624
ko00052,Galactose metabolism,293804,236022,267514,338226,282528,251928,232116,383504,303410,310778,323388,294176,327878,292360,254562,285590,278532,287846,295498,283466,334554,312906,275626,291486,356820,240172,300398,292362,298956,265848,http://www.genome.jp/kegg-bin/show_pathway?ko00052+K01190+K01784+K07407+K12308+K00845+K01835+K00965+K01854+K00850+K01684+K00963+K00849+K15778+K01187+K01785+K01182+K07406+K21071+K02775+K17716+K12111+K01193+K02773+K08302+K16371+K02745+K00883+K00917+K16370+K02747+K02746+K02744+K00844+K01631+K02079+K01819+K06617+K02080+K06611+K12309+K10984+K01220+K02774+K04618+K00011+K01635+K15779+K10986+K02787+K12447+K12316+K01229+K10985+K00035+K01203+K12047+K02786+K12317+K18127+K07967+K00094+K18819,8792254
ko00053,Ascorbate and aldarate metabolism,18230,16088,19098,25278,23656,29658,30066,42478,18960,22972,20244,35008,31390,22328,17488,24734,17574,22450,24892,23636,28030,23122,31352,31264,30458,43974,26290,22248,32784,31460,http://www.genome.jp/kegg-bin/show_pathway?ko00053+K00012+K00128+K03475+K01053+K01630+K00880+K16190+K03077+K08092+K03079+K03476+K13876+K17744+K00064+K02821+K13875+K01706+K01708+K18983+K20023+K02822+K12447+K10047+K03078+K14190+K01707+K18982+K00699,787210
ko00061,Fatty acid biosynthesis,120370,99514,118816,147302,133638,124652,118758,183628,119972,140676,125050,133284,160388,130796,112108,138202,109696,139214,146640,141156,180800,146800,128970,128606,182024,108342,147760,134438,146534,138146,http://www.genome.jp/kegg-bin/show_pathway?ko00061+K01071+K00059+K01897+K02371+K00648+K00647+K01962+K00645+K01961+K00208+K09458+K02372+K02078+K02160+K01963+K16363+K00209+K10781+K10780+K01716+K00667+K10782+K11263+K15013+K18474+K11533,4086280
ko00062,Fatty acid elongation,18,18,10,44,20,1464,2146,884,60,16,6,2090,130,26,6,24,38,6,4,10,18,16,976,342,30,804,18,16,404,548,http://www.genome.jp/kegg-bin/show_pathway?ko00062+K10258+K10251+K07512+K07508+K00022+K07511+K01074+K10703+K01068+K07515+K15397,10192
ko00071,Fatty acid degradation,76292,66238,78432,100590,87074,63054,59422,91142,81140,91146,81664,72156,78598,87368,74190,88216,74734,84438,91466,86770,107786,91024,67704,70040,111646,56770,93870,85218,68550,69060,http://www.genome.jp/kegg-bin/show_pathway?ko00071+K04072+K01897+K00128+K00626+K05939+K13954+K00248+K00249+K00001+K13953+K13767+K00632+K05297+K00121+K07516+K01782+K00529+K01692+K01825+K07508+K00022+K10527+K15013+K00252+K07511+K09478+K07513+K01909+K07515+K13980+K18857+K00232,2435798
