#Taxonomy,S_JC2,S_MC1,F_LW2,F_JC4,F_MC1,F_JC5,F_MC3,S_MC2,S_MC4,S_MC3,S_LW3,S_JC1,F_MC4,S_JC3,N_F_LW1,F_LW4,S_MC5,S_LW4,F_MC2,F_LW3,F_JC3,S_JC4,S_LW2,F_LW1,F_JC1,S_LW5,F_JC2,F_LW5,S_LW1,F_MC5,S_JC5,Total
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_KD3-62,254,300,8,310,266,428,190,184,198,158,112,298,256,240,58,126,186,136,184,366,226,272,204,150,174,138,220,204,190,354,244,6634
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Amesbacteria,94,18,234,22,72,96,32,110,30,122,90,16,28,140,26,46,56,48,142,108,16,46,80,162,64,82,80,116,64,94,60,2394
d__Eukaryota;k__unclassified_d__Eukaryota;p__Apicomplexa,1342,856,180462,1164,1404,1528,852,1188,708,1572,16220,1040,950,1594,12216,13094,1142,18464,790,119946,878,660,74814,66476,1082,39036,816,155862,19650,1110,1314,738230
d__Eukaryota;k__unclassified_d__Eukaryota;p__Chromerida,104,94,89228,84,104,86,26,86,82,34,6988,150,48,94,6900,6198,58,8156,26,57364,86,80,32110,28948,82,17342,74,68208,8696,52,102,331690
d__Bacteria;k__unclassified_d__Bacteria;p__candidate_division_WOR-3,186,772,196,118,172,226,94,150,276,140,648,684,120,218,142,402,70,664,206,384,68,430,1744,1692,184,310,190,256,496,148,96,11482
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Kaiserbacteria,44,22,132,54,38,48,34,46,54,20,128,54,64,74,138,150,6,348,50,146,36,70,96,310,16,176,58,138,200,30,34,2814
d__Bacteria;k__unclassified_d__Bacteria;p__Actinobacteria,171128,220716,321292,219012,202296,196734,159174,244466,230046,144664,708672,232364,196442,163212,109624,414272,294682,429438,248950,265546,180360,214838,495396,609732,156316,453920,141670,449080,526374,189004,223340,8812760
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Rokubacteria,162,158,226,170,144,306,136,98,128,102,444,416,142,216,52,310,164,268,92,352,90,188,374,348,214,232,94,298,144,186,266,6520
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Microgenomates,168,358,186,118,274,686,40,160,202,40,146,370,126,154,134,336,154,120,570,244,42,246,220,626,350,80,324,138,158,650,222,7642
d__Eukaryota;k__unclassified_d__Eukaryota;p__unclassified_d__Eukaryota,22122,22710,5231098,24690,28210,31798,29470,19404,25160,22238,438230,24272,24696,25382,364360,336282,22414,501208,33102,3360858,20666,28900,2084468,1788910,27514,1094694,34134,4360264,534290,28610,29770,20619924
d__Archaea;k__unclassified_d__Archaea;p__Nanoarchaeota,4,0,154,0,0,2,4,0,0,44,44,0,0,44,0,6,0,78,0,26,2,0,132,56,0,102,0,142,46,12,2,900
d__Bacteria;k__unclassified_d__Bacteria;p__Candidatus_Peregrinibacteria,1428,1304,824,982,1208,1300,736,1214,1410,1092,1316,1786,1000,1572,440,1286,1526,1258,960,1190,634,3164,1266,3394,1254,834,1012,2124,1116,1180,2218,42028
