Pathway,Description,F_MC1,F_MC2,F_MC3,F_MC4,F_MC5,S_MC1,S_MC2,S_MC3,S_MC4,S_MC5,Total
Global and overview maps,Biosynthesis of amino acids,5.147482820166343,5.1439420759137455,5.171404275330653,5.113622746100526,5.157498292209082,5.218087068761299,5.320340853310392,5.229793068819027,5.3046287537828904,5.338730939342811,5.215690482383063
Global and overview maps,Carbon metabolism,4.288482104791566,4.2238222049847005,4.30361640434486,4.246135532044545,4.284849431786067,4.214999074786721,4.260545315753453,4.083396522200556,4.157989205962463,4.211139907101594,4.223934051227491
Nucleotide metabolism,Purine metabolism,4.198328624384886,4.138505491829339,4.21295451566999,4.227556495274659,4.199096526119107,4.2131905211476495,4.236472175873797,4.228068574028155,4.260939082142827,4.195841210765675,4.211449353228982
Nucleotide metabolism,Pyrimidine metabolism,3.598145445085953,3.47529184151602,3.5598117738673793,3.559966129349726,3.5631260890699767,3.582709122478193,3.6101421581770126,3.561959313197785,3.632574716061207,3.554876290476452,3.5701902851106055
Translation,Aminoacyl-tRNA biosynthesis,2.926397690567892,2.8203131165765076,2.877740662752523,2.8888467843735297,2.887821956942675,2.7526899117185275,2.8208970499368187,2.707701000823162,2.754834491278247,2.752137414470815,2.815924003152257
Membrane transport,ABC transporters,2.379515351653672,2.3225285640517996,2.426801533688171,2.268803277912007,2.3994563330378007,2.1175223100236904,2.2893788841219624,2.006980573991446,2.3044967555177247,2.258904398189556,2.271077627259492
Carbohydrate metabolism,Glycolysis / Gluconeogenesis,2.1155131549472865,2.062627825118326,2.0905750824974727,2.1140754744825565,2.1308628098853237,2.085155436276147,2.1178496139310936,2.0407149893388756,2.0655141157015224,2.057270055691253,2.0869015366185146
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,2.092290572227561,2.037724617060186,2.0049277254295323,2.0450433602070435,2.042515919195247,2.0165640349597873,1.9966923412679087,2.003309692748879,1.955082876053629,1.9817190574822574,2.017296942951869
Cellular community - prokaryotes,Quorum sensing,2.0344825094480052,2.0150943566408177,2.1104014448593253,1.9839089878189835,2.0801741220016763,1.8498830988346056,1.8965443543178786,1.8077533272687316,1.8795325068750923,1.8561973952612882,1.9463609068773011
Carbohydrate metabolism,Pyruvate metabolism,1.9574984283432935,1.9435325845534268,1.9715958388658226,1.9517613096701765,1.9942294431228917,1.9593852307451625,1.9801344910914946,1.8890289322799434,1.9088089327304392,1.9166115377303266,1.9457279866486912
Replication and repair,Homologous recombination,2.0298759294452595,1.9366776631031597,1.9580797799336986,1.9882966222009018,1.9705504981258712,1.801533243665897,1.8618920705684772,1.8013292850942393,1.8125159790258705,1.8087495405393081,1.8940493570043282
Carbohydrate metabolism,Starch and sucrose metabolism,1.8326239802296425,1.8063619984801917,1.7548121594385073,1.703128694694812,1.783803763115269,1.7514461079079318,1.7980074517775895,1.8077123576120064,1.8871805126707373,1.7326368602619744,1.7873399304318107
Replication and repair,Mismatch repair,1.875392914176705,1.7998227642019766,1.8088658604367363,1.8423629590810162,1.8213307526715017,1.686133266883093,1.7402412286930593,1.6909570298768761,1.6948928073224394,1.6958419247683036,1.7633564116376048
Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",1.464187905108065,1.5189874559447278,1.498797144498153,1.4834072877757865,1.5000399695746753,1.9533181123796033,1.9283655995669255,2.0465982320445972,2.0935451094204227,1.9370986531720806,1.7526577498462537
Energy metabolism,Carbon fixation pathways in prokaryotes,1.7214608820065178,1.7462190823875874,1.7590155168149042,1.7333703467250223,1.748618425408699,1.7857908087878602,1.7756943983340083,1.7264695283261748,1.7545156781926148,1.742004574757646,1.7490367069616948
Translation,Ribosome,1.5833628395320438,1.5322823957048506,1.5850765853820927,1.570065425761887,1.5696435521405119,1.4877090961962554,1.51765082660271,1.43098817009356,1.4667594601314808,1.4931127782384945,1.5210569926740822
Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,1.541641676722861,1.5230462910139646,1.5020523761505506,1.539314241997002,1.5079733245481015,1.3911608410896972,1.4418181078251302,1.3945169816768945,1.4029442191118577,1.3955514589786924,1.462063283540806
Replication and repair,DNA replication,1.4979423942654402,1.4411209600497883,1.4526128870091184,1.4655359339707261,1.447645509438472,1.3801402457619485,1.4114589449594896,1.3368726746647084,1.359108516168472,1.400130595840906,1.4172885662295442
Carbohydrate metabolism,Galactose metabolism,1.4605026411058681,1.4015518279414716,1.3408710030706632,1.3793212773092498,1.405657269375554,1.3381426011580624,1.3613290757245993,1.3706562536002085,1.372194324250011,1.3448382322323065,1.3778109754447372
Amino acid metabolism,"Glycine, serine and threonine metabolism",1.3578481671231095,1.3502842312002652,1.366881252099045,1.3619028406016778,1.3633561361775521,1.3835969886780086,1.3802802709490098,1.4119454736477433,1.3959101587355882,1.3877545502673558,1.3766754149177856
Amino acid metabolism,Cysteine and methionine metabolism,1.3244188483188692,1.3522324720334988,1.3612662408669156,1.3283775396146769,1.3453597342467392,1.359016695622828,1.3386248919618902,1.341920136373238,1.3510658311746573,1.378881877594626,1.3478687667902303
Energy metabolism,Methane metabolism,1.3194870979629882,1.2908538661531488,1.3218136760182764,1.2801890475964917,1.3176838317821908,1.3406727944265187,1.4152771218843094,1.2543270102950193,1.3370766462617523,1.4004352369627164,1.3268077687012705
Replication and repair,Nucleotide excision repair,1.2451856722716401,1.2090277511573317,1.2302036616194072,1.231104157156194,1.2216962925998955,1.2001134310587815,1.1888964807490778,1.1569503301908515,1.1872564226365183,1.1945454387941237,1.20541182091159
Signal transduction,Two-component system,1.1739011048566,1.218651700088167,1.232468628626739,1.1596187419359525,1.1667482207483273,1.151442847165903,1.2203638461855806,1.1897424434336046,1.2988366172835284,1.1432990900845694,1.195827468311047
"Folding, sorting and degradation",RNA degradation,1.1418808575826114,1.147567968575597,1.157387606016258,1.1846518473450471,1.1718655375059954,1.1443511787092433,1.1397537499386532,1.1718305095134,1.1293701402382899,1.1533427270692582,1.153973423762758
Carbohydrate metabolism,Citrate cycle (TCA cycle),1.0953273020254501,1.1166396453480114,1.1186830070165517,1.1333212429630364,1.1267584594191735,1.1778940577787451,1.1622158054085685,1.150976954240335,1.1409737086644802,1.158883387472186,1.1386087077312887
Carbohydrate metabolism,Pentose phosphate pathway,1.141573752249095,1.09080741504069,1.1126255371132228,1.1056744284705198,1.1180277316176293,1.0299846611487666,1.0740066058185849,1.0035353536181206,1.0377080891255794,1.0534394791855382,1.0748251322255824
