Pathway,Description,F_JC1,F_JC2,F_JC3,F_JC4,F_JC5,S_JC1,S_JC2,S_JC3,S_JC4,S_JC5,Total
Global and overview maps,Biosynthesis of amino acids,5.10813381499558,5.14417850346462,5.161278220706729,5.148448083275899,5.161019714195058,5.278814655854325,5.258853441186996,5.276228187760858,5.35821549136326,5.268619931875951,5.219308541516754
Global and overview maps,Carbon metabolism,4.239064121286653,4.22131741035207,4.339284414485261,4.269388396405532,4.295586456892784,4.220326332154601,4.201141167902186,4.126331635124802,4.109780104442536,4.111400610200908,4.210478462881297
Nucleotide metabolism,Purine metabolism,4.206908602667077,4.163878730459268,4.18383847486818,4.189533144261975,4.198826457611188,4.225039767863758,4.231760553932702,4.228334805972658,4.246266219081031,4.182894796259754,4.206029140591759
Nucleotide metabolism,Pyrimidine metabolism,3.6102751143307326,3.528709552025717,3.541023435351188,3.521924421629129,3.575676721325215,3.6137584908344205,3.5905763688788164,3.578626092217919,3.6221336875058427,3.5382651491755435,3.571561790895128
Translation,Aminoacyl-tRNA biosynthesis,2.943856244315489,2.8932728776231476,2.857358980825955,2.885838594851238,2.884035423289451,2.8087036717104166,2.7952318827466454,2.7628726838753215,2.735721474458815,2.720681095015743,2.8246615034185845
Membrane transport,ABC transporters,2.305099326825769,2.471225033050951,2.34078260016772,2.2712741587512837,2.3562238456150433,2.1535641087457753,2.1699033177457716,2.0730735448769875,2.2663280882443666,2.1024412582370604,2.2416951296388774
Carbohydrate metabolism,Glycolysis / Gluconeogenesis,2.1213034664309594,2.0990408688852704,2.0930763146997338,2.1304113754413203,2.143808332884331,2.1009042983080257,2.107050500529644,2.065130482846268,2.058381689513393,2.048525125554277,2.0959331156917775
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,2.0911795600988947,2.0352552391821286,2.021714721223896,2.0483858296826187,2.049499137915552,1.9785603076632157,1.9875162152198194,2.0023268389032607,1.9585624976580482,2.0238855438392105,2.019439322862532
Carbohydrate metabolism,Pyruvate metabolism,1.9565627281810845,1.9853672409602472,1.9575504541757642,1.9744390574951212,2.0130176996713303,1.9815003715214028,1.9496905922909595,1.9292356636170436,1.8977285243489184,1.897164447841521,1.9524732199666543
Cellular community - prokaryotes,Quorum sensing,2.0056016454658416,2.051219884969438,2.067783727069226,1.970824652158873,2.067122478851991,1.8274130247442308,1.856246872194113,1.7873858923340917,1.8418339403798674,1.8135171593623287,1.9224771453035523
Replication and repair,Homologous recombination,2.0235959257266565,1.9132892362175438,1.9155490591585569,1.957159229243741,1.9611111610002574,1.8178088161408197,1.8538827707610592,1.7999053584627933,1.8201365845239281,1.8440666038503817,1.8889856439926456
Carbohydrate metabolism,Starch and sucrose metabolism,1.860086164380052,1.8632553311034707,1.7679019222570491,1.7292783996535455,1.8017340469476821,1.7489179864986666,1.8012933818546955,1.814459823954737,1.813787292862639,1.7300744430560475,1.7888331737263754
Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",1.4549746678964426,1.4920074028293535,1.5356811025733195,1.50106748738424,1.5042700120332622,1.9647186736895927,1.9395316021971143,2.0138147385344665,2.0802777564347377,1.9463678438002052,1.7535343406139576
Replication and repair,Mismatch repair,1.8935827472682318,1.7737779294669063,1.7599603963545234,1.8013932129719852,1.7981233199829978,1.7035756683301828,1.7223096074708641,1.6908875354319646,1.6973993831251537,1.7097384537192586,1.7533662822282585
Energy metabolism,Carbon fixation pathways in prokaryotes,1.702180850723134,1.728631905241255,1.77809643561074,1.7440413474767158,1.7628298670354474,1.786914811789712,1.7550652297360667,1.7385740412480304,1.7199767451278887,1.7332642536040312,1.7450788444038758
Translation,Ribosome,1.6110885598811218,1.5834423886028237,1.5590163436399183,1.5271522711008654,1.5499747062028173,1.5091301116393583,1.5028944102103359,1.4826142595875198,1.492868922232816,1.4804433548745306,1.5267381408027518
Glycan biosynthesis and metabolism,Peptidoglycan biosynthesis,1.522228040172681,1.4500834891396028,1.4827919672943701,1.5119767199288079,1.5004160754802829,1.3711244474896662,1.422619399702427,1.3696952396207063,1.3550391422949122,1.3875751651200505,1.436074866649661
Replication and repair,DNA replication,1.5058050068534388,1.407892079480834,1.4278027622645602,1.4352985135716794,1.4302220466124271,1.3868794563551252,1.3855248442849937,1.3616677766947372,1.3730461497933215,1.395515596127858,1.4103262564385257
Carbohydrate metabolism,Galactose metabolism,1.4701867401970203,1.4348848545363,1.3635875226496599,1.395531802805967,1.419081176625538,1.3327822813644845,1.345667423337365,1.3855719858048947,1.3618615555404998,1.3517674581134687,1.3839917890616016
Amino acid metabolism,"Glycine, serine and threonine metabolism",1.342985793525742,1.3236551670554884,1.3918671026927991,1.376040420604553,1.3448367726910804,1.3763605612180563,1.383303158600919,1.4026678560315788,1.3679837488413253,1.3910528920595386,1.3716972384430122
Amino acid metabolism,Cysteine and methionine metabolism,1.2958684011631632,1.3354493075076512,1.3612020065248964,1.325257200423562,1.3410389614277076,1.3590281847588397,1.3440248950324722,1.3445531507135533,1.3468636013182302,1.353010044645225,1.3409491259757491
Energy metabolism,Methane metabolism,1.3084984243495639,1.2881876333452207,1.3443708649779524,1.2776922863638884,1.3000768542299013,1.3461852391433942,1.3397904000961591,1.2981139025717328,1.297308846578782,1.274173990603015,1.3063657145946306
