Pathway,Description,F_LW1,F_LW2,F_LW3,F_LW4,F_LW5,S_LW1,S_LW2,S_LW3,S_LW4,S_LW5,Total
Global and overview maps,Biosynthesis of amino acids,4.6212477631958615,2.7972965755455994,3.512080309311073,5.058295415975576,3.3740487578674343,5.1024552403106265,4.244931244513675,5.26260913035569,5.0507913996921205,4.595847580802304,4.299973409494203
Global and overview maps,Carbon metabolism,3.389192324462674,2.1401627792227003,2.6536629085720778,3.823422514592524,2.547847949036926,3.667921039317207,3.1936263549036283,3.846012150116551,3.7817485054060884,3.5435602507346737,3.213573013218695
Nucleotide metabolism,Purine metabolism,3.274312563351895,2.2767481267188963,2.7529611000889096,3.6795102398755373,2.576976803291376,3.535731698742855,3.1654771143292355,3.660026948552379,3.582798193482517,3.3288551862949323,3.145697309987082
Nucleotide metabolism,Pyrimidine metabolism,2.756393042851326,1.8154206760674363,2.2570604067802322,3.13595705482607,2.1155523112309473,2.9781799817197663,2.674797846422059,3.1238233805132776,3.1152551792275154,2.927211984057269,2.6536859995898463
Membrane transport,ABC transporters,2.6296379587053362,1.396668947310753,1.8448434473542898,2.3766770951918965,1.8909677620721044,2.992756377058077,2.207927876105981,2.796000445617088,2.4608055297486895,2.2961462353279045,2.263931588103902
Translation,Aminoacyl-tRNA biosynthesis,2.0941914561962545,1.3430132610745005,1.6659776315024202,2.379037720038134,1.5796654736130036,2.266454852464546,1.9711715060117472,2.335012388437083,2.2916497089827543,2.1540008004894933,1.9813510224469428
Carbohydrate metabolism,Starch and sucrose metabolism,1.9530554180290907,1.6377142590818436,1.693499687120583,2.1645041340120716,1.7045634780348822,2.009538991627763,1.9071191007573725,2.3442843262650377,2.124339564660212,1.9672311513241059,1.9341202574789471
Cellular community - prokaryotes,Quorum sensing,1.8518229522388807,1.0285984662897694,1.3079469325657693,1.8738897552143627,1.3715021329098724,2.4889424806800724,1.5465253965572576,1.901566922238408,1.8862217871982692,1.7936962842443667,1.6790878519913037
Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism,1.7442300385612255,1.143942993836761,1.4073631769376977,1.9560910044055266,1.3191300708761777,1.8479946657377968,1.5531279072182995,1.8128665588348525,1.8963517440834374,1.714818330922963,1.6209610390718383
Carbohydrate metabolism,Glycolysis / Gluconeogenesis,1.6246001482363621,1.0456996783987882,1.2777962333741244,1.8267201787413627,1.1957289570621707,1.8002215869430054,1.5345845144714956,1.8892454687370002,1.8155502408012378,1.6806825339713098,1.5460097673415356
Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",1.4240750599999141,0.9440621740149289,1.1777188930136557,1.6594849305435497,1.0839335227696172,1.478061192369358,1.4161982775821091,1.7112013470045646,1.6599350509011197,1.483382345272466,1.3840211266040994
Replication and repair,Homologous recombination,1.4716260917136794,0.9162935109331241,1.1683769770803532,1.6962420054220546,1.0844749512873577,1.5527445394810306,1.3421132768598587,1.5798077641726682,1.6023448426144067,1.4949659387592682,1.3728006615364103
Signal transduction,Two-component system,1.5667281551412098,0.8701788585595872,1.1743583217385754,1.6737259364341242,1.0799588004746734,1.6279885171826385,1.2093947607306499,1.4018605923604872,1.5540170382302532,1.4878220207397712,1.3504470744707835
